@relation financial_reports_2014.symbolic

@attribute v1 {very_low, low, middle, high, very_high}
middle,low,low,low,low,very_high,very_low,very_low,high,low,low,high,low,very_high,low,high
very_high,middle,middle,high,high,low,low,very_low,very_high,middle,middle,high,middle,high,middle,low
high,middle,high,middle,middle,very_high,middle,low,low,middle,middle,very_high,middle,very_high,very_high,very_high
very_low,very_low,very_low,very_low,very_low,low,very_high,very_high,middle,low,low,very_low,low,low,middle,middle
high,very_high,high,very_high,very_high,low,high,high,high,middle,middle,middle,middle,low,high,low
middle,middle,high,middle,middle,high,middle,middle,very_high,high,high,high,high,middle,high,high
high,middle,middle,middle,middle,very_low,very_low,very_low,very_high,low,low,high,low,very_high,low,very_low
very_high,very_high,very_high,very_high,very_high,middle,very_high,middle,low,middle,middle,middle,middle,low,low,middle
middle,high,very_high,high,high,middle,very_high,very_high,very_low,very_low,very_low,very_low,very_low,very_low,middle,middle
high,high,high,high,middle,high,middle,low,low,very_low,very_low,very_low,very_low,high,low,high
very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,middle,very_high,very_high,very_high,very_high,low,very_low,very_low
high,middle,middle,middle,middle,high,middle,very_high,high,very_low,very_low,middle,very_low,very_high,very_high,low
very_low,very_low,very_low,very_low,very_low,middle,high,very_high,high,very_high,very_high,very_high,very_high,very_low,high,middle
middle,low,low,low,middle,very_low,very_low,very_low,middle,very_high,very_high,very_high,very_high,very_high,very_low,very_low
middle,high,middle,high,high,very_low,high,middle,high,high,high,low,high,middle,high,low
very_high,low,low,very_low,very_low,very_low,very_low,very_low,very_high,high,high,low,high,low,middle,very_low
middle,low,low,low,low,high,low,low,very_high,low,low,very_high,low,very_high,very_high,low
high,very_high,very_high,very_high,very_high,very_high,very_high,high,very_low,low,low,low,low,high,very_high,very_high
very_high,very_high,very_high,very_high,very_high,very_high,high,very_high,low,very_low,very_low,low,very_low,middle,very_high,very_high
low,middle,middle,middle,high,high,very_high,high,very_low,very_high,very_high,middle,very_high,very_low,low,very_high
